SAMPLE,Area,Side,X,Y,Ca,Cu,Fe,K,Mg,Zn
JIN2,Inside,Storage,13,-11.5,2.95,15,1.21,0.28,0.54,46
JIN5,Inside,Storage,12.5,-12,3.4,13,1.18,0.32,0.51,31
JIN9,Inside,Storage,13.5,-12,4.3,15,1.3,0.31,0.57,36
JIN10,Inside,Storage,13.5,-13,5.7,13,1.36,0.21,0.55,28
JIN12,Inside,Fireplace,13.5,-11,3.97,14,1.04,0.27,0.5,32
JIN13,Inside,Storage,14,-11.5,4.5,17,1.27,0.27,0.53,33
JIN14,Inside,Fireplace,13.5,-10,3.3,20,1.23,0.18,0.49,36
JIN17,Inside,Fireplace,14,-10.5,3.2,18,1.43,0.33,0.56,41
JIN18,Inside,Storage,14,-13.5,2.81,14,1.41,0.21,0.45,36
JIN21,Inside,Storage,14,-12.5,5.07,14,1.27,0.27,0.6,35
JIN22,Inside,Fireplace,14,-9.5,1.02,11,1.26,0.22,0.36,25
JIN24,Inside,Fireplace,14.5,-10,2.89,12,1.09,0.24,0.47,27
JIN27,Inside,Storage,14.5,-12,3.4,12,1.07,0.22,0.46,31
JIN28,Inside,Fireplace,7.5,-10,0.66,10,1.33,0.19,0.31,25
JIN30,Veranda,Fireplace,7.5,-11,2.89,11,1.05,0.29,0.41,32
JIN31,Veranda,Fireplace,7.5,-12,2.5,15,1.4,0.34,0.46,35
JIN33,Veranda,Storage,8.5,-9,2.88,11,0.92,0.32,0.38,32
JIN35,Veranda,Storage,8.5,-8,3.96,9,1.3,0.18,0.38,22
JIN36,Veranda,Storage,8.5,-10,2.72,12,1.05,0.31,0.41,35
JIN39,Veranda,Fireplace,8.5,-11,3.42,13,1.2,0.3,0.39,38
JIN41,Veranda,Fireplace,8,-10.5,2.73,11,1.09,0.24,0.36,30
JIN42,Veranda,Fireplace,8,-11.5,4.62,15,1.47,0.3,0.65,37
JIN47,Veranda,Storage,8,-8.5,5.21,9,1.14,0.14,0.38,20
JIN48,Veranda,Storage,8,-9.5,2.08,10,0.95,0.27,0.37,28
JIN49,Veranda,Storage,9,-8.5,2.47,12,0.92,0.36,0.39,33
JIN52,Veranda,Fireplace,9,-10.5,2.97,10,0.9,0.23,0.31,26
JIN55,Veranda,Storage,9.5,-9,2.31,13,1.34,0.22,0.4,37
JIN57,Veranda,Fireplace,10,-10.5,2.39,15,1.19,0.24,0.43,44
JIN58,Veranda,Storage,10,-8.5,1.66,9,1.05,0.2,0.32,25
JIN60,Veranda,Storage,10.5,-9,2.28,12,1.16,0.22,0.41,26
JIN62,Inside,Storage,14.5,-13,3.12,14,1.5,0.27,0.54,38
JIN63,Inside,Storage,14.5,-13.5,4.88,11,1.38,0.21,0.52,31
JIN64,Inside,Fireplace,14.5,-11,4.25,12,1.26,0.24,0.53,32
JIN66,Inside,Storage,15,-11.5,3.78,11,1.22,0.22,0.46,31
JIN69,Inside,Storage,15,-12.5,4.59,13,1.37,0.23,0.53,31
JIN71,Inside,Fireplace,15.5,-10.5,4.62,12,1.21,0.22,0.52,33
JIN72,Inside,Storage,15.5,-13,3.63,13,1.39,0.23,0.52,36
JIN73,Inside,Storage,15.5,-12,3.72,13,1.25,0.22,0.5,32
JIN75,Inside,Fireplace,15.5,-11,4.07,12,1.42,0.23,0.52,32
JIN78,Inside,Storage,16,-11.5,3.43,14,1.22,0.25,0.49,48
JIN80,Inside,Fireplace,11,-9.5,3.12,15,1.37,0.32,0.54,45
JIN84,Inside,Fireplace,11.5,-10,2.94,13,1.19,0.29,0.45,32
JIN85,Inside,Fireplace,11.5,-9,1.03,9,1.05,0.23,0.3,21
JIN86,Inside,Storage,12,-11.5,3.75,13,1.27,0.36,0.54,38
JIN87,Inside,Fireplace,12,-9.5,2.5,15,1.24,0.29,0.5,41
JIN90,Inside,Storage,12,-12.5,2.43,12,1.17,0.26,0.45,31
JIN93,Inside,Fireplace,12,-10.5,2.55,11,1.12,0.28,0.4,28
JIN96,Inside,Fireplace,12.5,-9,4.69,13,1.41,0.25,0.56,62
JIN98,Inside,Storage,12.5,-13,4,15,1.46,0.25,0.56,36
JIN100,Inside,Fireplace,12.5,-11,2.59,12,1.04,0.29,0.43,29
JIN101,Inside,Fireplace,12.5,-10,2.49,13,1.02,0.26,0.39,26
JIN102,Inside,Fireplace,13,-10.5,3.57,13,1.16,0.25,0.51,32
JIN103,Inside,Fireplace,13,-9.5,3.47,11,1.29,0.26,0.47,26
JIN106,Veranda,Fireplace,8.5,-12,2.35,10,0.81,0.32,0.34,23
JIN109,Veranda,Fireplace,9,-12,2.4,10,0.86,0.28,0.34,31
JIN110,Veranda,Fireplace,9,-12.5,2.16,10,1.06,0.21,0.31,25
JIN111,Veranda,Fireplace,9,-11.5,2.76,9,0.87,0.23,0.29,21
JIN112,Veranda,Fireplace,9.5,-11,3.34,10,1.1,0.28,0.37,26
JIN114,Veranda,Fireplace,9.5,-12,2.22,17,1.4,0.63,0.66,37
JIN115,Veranda,Fireplace,9.5,-11.5,2.04,7,0.85,0.15,0.22,17
JIN117,Inside,Storage,10,-12.5,2.59,10,0.93,0.24,0.41,26
JIN118,Inside,Storage,10.5,-12,1.82,9,0.98,0.34,0.36,22
JIN119,Inside,Fireplace,10.5,-10,3.25,17,1.33,0.28,0.51,32
JIN121,Inside,Storage,10.5,-11,2.81,11,0.89,0.27,0.46,26
JIN123,Inside,Storage,11,-12.5,3.1,12,1.15,0.49,0.54,30
JIN126,Inside,Fireplace,11,-10.5,2.59,11,0.97,0.3,0.45,29
JIN127,Inside,Storage,11,-11.5,2.43,9,0.93,0.27,0.41,25
JIN129,Inside,Storage,11.5,-13,3.06,15,1.18,0.26,0.51,34
JIN130,Inside,Fireplace,11.5,-11,2.56,12,1.12,0.29,0.46,34
JIN134,Inside,Storage,11.5,-12,2.49,13,1.25,0.32,0.49,33
