SAMPLE,Area,Side,X,Y,foodremains,livingroom,enclosedspaces,burningareas,ashes
JIN2,Inside,Storage,13,-11.5,2.239176498,1.728972416,2.51754386,0.910790598,1.428334458
JIN5,Inside,Storage,12.5,-12,2.266983583,1.742202242,2.596491228,0.969474969,1.565966198
JIN9,Inside,Storage,13.5,-12,2.465744148,1.879738317,2.754385965,1.016101954,1.770487919
JIN10,Inside,Storage,13.5,-13,2.049572027,1.483974359,3,0.650641026,1.650641026
JIN12,Inside,Fireplace,13.5,-11,2.212260104,1.65249334,2.696491228,0.894917582,1.59140881
JIN13,Inside,Storage,14,-11.5,2.348962687,1.70756327,2.789473684,0.904532967,1.694006651
JIN14,Inside,Fireplace,13.5,-10,2.003875801,1.388715451,2.578947368,0.646291209,1.225238577
JIN17,Inside,Fireplace,14,-10.5,2.418254789,1.800178988,2.561403509,0.951694139,1.513097648
JIN18,Inside,Storage,14,-13.5,1.627999127,1.231497669,2.492982456,0.549679487,1.042661943
JIN21,Inside,Storage,14,-12.5,2.60964036,1.895354645,2.889473684,0.986263736,1.87573742
JIN22,Inside,Fireplace,14,-9.5,1.370173902,1.139853202,2.178947368,0.594398657,0.773346025
JIN24,Inside,Fireplace,14.5,-10,2.118219366,1.468073593,2.507017544,0.755952381,1.262969925
JIN27,Inside,Storage,14.5,-12,1.969995849,1.445214508,2.596491228,0.748244811,1.344736039
JIN28,Inside,Fireplace,7.5,-10,1.051363886,0.93474581,2.115789474,0.46504884,0.580838314
JIN30,Veranda,Fireplace,7.5,-11,2.080324154,1.648837274,2.507017544,1.027625153,1.534642696
JIN31,Veranda,Fireplace,7.5,-12,2.100929541,1.751075314,2.438596491,1.054105617,1.492702108
JIN33,Veranda,Storage,8.5,-9,2.015895811,1.607732545,2.505263158,1.031974969,1.537238127
JIN35,Veranda,Storage,8.5,-8,1.371003147,1.015318015,2.694736842,0.43956044,1.134297282
JIN36,Veranda,Storage,8.5,-10,2.145261485,1.757506383,2.477192982,1.136294261,1.613487244
JIN39,Veranda,Fireplace,8.5,-11,2.075663707,1.629599567,2.6,1.038690476,1.638690476
JIN41,Veranda,Fireplace,8,-10.5,1.787922961,1.426406926,2.478947368,0.880952381,1.359899749
JIN42,Veranda,Fireplace,8,-11.5,2.675072377,1.893731269,2.810526316,0.908882784,1.7194091
JIN47,Veranda,Storage,8,-8.5,1.339272689,0.980672106,2.914035088,0.40491453,1.318949618
JIN48,Veranda,Storage,8,-9.5,1.761239611,1.402639028,2.364912281,0.842032967,1.206945248
JIN49,Veranda,Storage,9,-8.5,2.10297738,1.715222278,2.433333333,1.124313187,1.55764652
