sample,X,Y,Ca,Cu
JIN2,13,-11.5,2.95,15
JIN5,12.5,-12,3.4,13
JIN9,13.5,-12,4.3,15
JIN10,13.5,-13,5.7,13
JIN12,13.5,-11,3.97,14
JIN13,14,-11.5,4.5,17
JIN14,13.5,-10,3.3,20
JIN17,14,-10.5,3.2,18
JIN18,14,-13.5,2.81,14
JIN21,14,-12.5,5.07,14
JIN22,14,-9.5,1.02,11
JIN24,14.5,-10,2.89,12
JIN27,14.5,-12,3.4,12
JIN28,7.5,-10,0.66,10
JIN30,7.5,-11,2.89,11
JIN31,7.5,-12,2.5,15
JIN33,8.5,-9,2.88,11
JIN35,8.5,-8,3.96,9
JIN36,8.5,-10,2.72,12
JIN39,8.5,-11,3.42,13
JIN41,8,-10.5,2.73,11
JIN42,8,-11.5,4.62,15
JIN47,8,-8.5,5.21,9
JIN48,8,-9.5,2.08,10
JIN49,9,-8.5,2.47,12
JIN52,9,-10.5,2.97,10
JIN55,9.5,-9,2.31,13
JIN57,10,-10.5,2.39,15
JIN58,10,-8.5,1.66,9
JIN60,10.2,-9,2.28,12
JIN62,14.5,-13,3.12,14
JIN63,14.5,-13.5,4.88,11
JIN64,14.5,-11,4.25,12
JIN66,15,-11.5,3.78,11
JIN69,15,-12.5,4.59,13
JIN71,15.5,-10.5,4.62,12
JIN72,15.5,-13,3.63,13
JIN73,15.5,-12,3.72,13
JIN75,15.5,-11,4.07,12
JIN78,16,-11.5,3.43,14
JIN80,11,-9.5,3.12,15
JIN84,11.5,-10,2.94,13
JIN85,11.5,-9,1.03,9
JIN86,12,-11.5,3.75,13
JIN87,12,-9.5,2.5,15
JIN90,12,-12.5,2.43,12
JIN93,12,-10.5,2.55,11
JIN96,12.5,-9,4.69,13
JIN98,12.5,-13,4,15
JIN100,12.5,-11,2.59,12
JIN101,12.5,-10,2.49,13
JIN102,13,-10.5,3.57,13
JIN103,13,-9.5,3.47,11
JIN106,8.5,-12,2.35,10
JIN109,9,-12,2.4,10
JIN110,9,-12.5,2.16,10
JIN111,9,-11.5,2.76,9
JIN112,9.5,-11,3.34,10
JIN114,9.5,-12,2.22,17
JIN115,9.5,-11.5,2.04,7
JIN117,10,-12.5,2.59,10
JIN118,10.5,-12,1.82,9
JIN119,10.5,-10,3.25,17
JIN121,10.5,-11,2.81,11
JIN123,11,-12.5,3.1,12
JIN126,11,-10.5,2.59,11
JIN127,11,-11.5,2.43,9
JIN129,11.5,-13,3.06,15
JIN130,11.5,-11,2.56,12
JIN134,11.5,-12,2.49,13
